,Made Donation in March 2007
659,0.5227774988952752
276,0.913109258810254
263,0.7117238337201445
303,0.7122532546152428
83,0.533265470223995
500,0.24804703576688536
530,0.6638296102417672
244,0.8834788642847484
249,0.9842270564070522
728,0.9192830501534525
129,0.8527182155879851
534,0.8582619514337403
317,0.742973726433132
401,0.7015561878232286
696,0.6875652784893512
192,0.8467969663512576
176,0.7961441734120066
571,0.5620783697077764
139,0.9397357976590368
423,0.7008633629698184
563,0.5803061771540323
56,0.717662582205383
528,0.6353736921143733
101,0.7233927132259124
467,0.7399210146405176
382,0.7037331854818396
466,0.6578369345078103
294,0.8816368011814735
512,0.6877818919276353
659,0.5227774988952752
389,0.6836093601589868
487,0.9685058635669218
701,0.6283234530268997
419,0.7537979745269152
536,0.8008843588539596
240,0.7805741373003016
508,0.7715880311850487
515,0.8731905778654487
283,0.6719930095678346
650,0.6827011098439426
65,0.6595314489095214
228,0.8785382775623356
741,0.9360423573381769
297,0.6496820640167696
464,0.8827287043887067
63,0.679572187321379
231,0.6731838251907221
28,0.9047060786969046
248,0.8833324198777448
357,0.8509138209903718
300,0.5145675381754841
726,0.3369927118027791
680,0.8401050127996668
520,0.6995404172979729
254,0.9603346426738824
582,0.8119231447818154
143,0.8020271675063653
98,0.6418907255005131
1,0.7359223310542372
221,0.5232095153877308
352,0.7051900078016499
64,0.8954291251269294
138,0.7649156550916072
745,0.597483984706543
64,0.8954291251269294
688,0.8979552872071654
623,0.8837102347081413
289,0.8446009254812206
174,0.707912192943234
690,0.6796132572139815
105,0.844175626023468
427,0.8736276129971191
48,0.991608513751765
14,0.7295375154192087
657,0.9550680757777993
301,0.8723967579758469
455,0.8769512750408686
579,0.7178798924095553
722,0.8830274796109939
98,0.6418907255005131
491,0.9901914864708524
303,0.7122532546152428
466,0.6578369345078103
65,0.6595314489095214
300,0.5145675381754841
9,0.9473505750620623
622,0.8259015429850747
323,0.9076406957486292
289,0.8446009254812206
568,0.6569597654866921
290,0.709750778817845
156,0.8505649665004575
464,0.8827287043887067
426,0.8865221118531448
306,0.8029864993174987
4,0.7483389232493274
12,0.6996374385828503
187,0.7693831545692364
406,0.9460091631253541
96,0.697341779204437
509,0.6441166828004043
733,0.855883563778961
548,0.9377020384582573
478,0.766397911987293
501,0.8274741727759425
127,0.6265039754421973
199,0.8203238479475607
299,0.603051659612932
162,0.7190332369602581
235,0.89007972795781
23,0.8253828240875303
473,0.6961703303229057
487,0.9685058635669218
683,0.5788649431820811
303,0.7122532546152428
309,0.9620080222996009
569,0.9485350370145494
34,0.6631269113483784
686,0.3733734140947341
84,0.7351428304242033
733,0.855883563778961
537,0.5505717461587856
181,0.8546802531878621
453,0.20494484826324522
67,0.6361091893124717
161,0.5777692288873202
307,0.7418904902378514
703,0.802121058054658
181,0.8546802531878621
246,0.869509012858156
316,0.6688814116918567
278,0.8427890870762604
346,0.8138435519997292
545,0.6907301242886184
419,0.7537979745269152
694,0.6506991953411299
622,0.8259015429850747
663,0.9268247515668107
262,0.42999302411823503
461,0.7405204735440372
373,0.10422473172948132
233,0.7139067301973104
466,0.6578369345078103
207,0.798390319561695
263,0.7117238337201445
16,0.9573270482625658
513,0.9482614754093006
449,0.7074630740937875
429,0.969498063518583
701,0.6283234530268997
632,0.9491080083436825
529,0.4860536168245543
245,0.7479032638294377
344,0.8843060560355868
353,0.8819515888229109
241,0.7088809033906657
633,0.8919272294240536
624,0.6346923563042917
726,0.3369927118027791
189,0.8469352536977115
138,0.7649156550916072
402,0.8775717985314151
511,0.6317529902393144
590,0.6112329718581142
334,0.7962187360782721
447,0.929266392660222
119,0.6850353105376823
389,0.6836093601589868
644,0.6831629122654486
423,0.7008633629698184
131,0.9556255955508888
405,0.9923719830033236
82,0.7247420182142017
643,0.06057792313761823
156,0.8505649665004575
617,0.939620905773159
574,0.6102234316894595
272,0.7423079859830588
613,0.9022335267306406
545,0.6907301242886184
685,0.8663474429186282
570,0.8154436415898167
537,0.5505717461587856
691,0.8899238801628895
85,0.5776128760415797
483,0.8596497003549364
455,0.8769512750408686
93,0.8513066375382811
744,0.6247471345431128
33,0.8778616727661184
321,0.2887336536209081
523,0.7619130102292879
426,0.8865221118531448
196,0.9005791681736867
301,0.8723967579758469
103,0.9087914322227602
224,0.9384109627868675
454,0.9240885964556669
585,0.9466622263478974
154,0.693182509687529
